"","Sach_genes","gene_No","tax.Phylum","Category","till2","t1","Soil_Type","genome"
"27",16,2241,"Proteobacteria","Sucrose","MP","t1","RH","GCF_007998985.1"
"28",10,2242,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_001952075.1"
"29",16,2255,"Proteobacteria","Sucrose","CT","t1","RH","GCF_006476065.1"
"30",11,2278,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_002007485.1"
"31",18,2317,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_003499275.1"
"32",18,2317,"Proteobacteria","Sucrose","CT","t1","RH","GCF_003499275.1"
"33",18,2317,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_003499275.1"
"34",18,2317,"Proteobacteria","Sucrose","MP","t1","RH","GCF_003499275.1"
"35",20,2324,"Proteobacteria","Sucrose","MP","t1","RH","GCF_000158475.2"
"36",31,2361,"Proteobacteria","Sucrose","CT","t1","RAS","GCA_013817375.1"
"37",31,2361,"Proteobacteria","Sucrose","CT","t1","RH","GCA_013817375.1"
"38",31,2361,"Proteobacteria","Sucrose","MP","t1","RAS","GCA_013817375.1"
"39",31,2361,"Proteobacteria","Sucrose","MP","t1","RH","GCA_013817375.1"
"40",47,2373,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_014200375.1"
"41",47,2373,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_014200375.1"
"42",18,2378,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_004358425.1"
"43",18,2378,"Proteobacteria","Sucrose","MP","t1","RH","GCF_004358425.1"
"44",45,2384,"Actinobacteriota","Sucrose","MP","t1","RAS","GCF_001570885.1"
"45",50,2385,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_013823625.1"
"46",50,2385,"Actinobacteriota","Sucrose","MP","t1","RH","GCA_013823625.1"
"47",21,2390,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_000023705.1"
"48",18,2393,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_000799165.1"
"49",31,2399,"Actinobacteriota","Sucrose","MP","t1","RAS","GCF_900289115.1"
"50",31,2399,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_900289115.1"
"51",26,2403,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_003583725.1"
"52",26,2403,"Proteobacteria","Sucrose","CT","t1","RH","GCF_003583725.1"
"53",26,2403,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_003583725.1"
"54",26,2403,"Proteobacteria","Sucrose","MP","t1","RH","GCF_003583725.1"
"55",22,2405,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_000799735.1"
"56",47,2421,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_014595885.1"
"57",47,2421,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_014595885.1"
"58",36,2429,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_002325245.1"
"59",15,2455,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_002007565.1"
"60",41,2461,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_004216575.1"
"61",41,2461,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_004216575.1"
"62",27,2464,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_003012815.1"
"63",27,2464,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_003012815.1"
"64",27,2464,"Proteobacteria","Sucrose","MP","t1","RH","GCF_003012815.1"
"65",43,2478,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_014200395.1"
"66",43,2478,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_014200395.1"
"67",18,2478,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_006363955.1"
"68",31,2487,"Actinobacteriota","Sucrose","MP","t1","RAS","GCF_014200305.1"
"69",57,2509,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_005502445.1"
"70",16,2513,"Proteobacteria","Sucrose","CT","t1","RH","GCF_003416885.1"
"71",52,2518,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_011046975.1"
"72",23,2519,"Actinobacteriota","Sucrose","CT","t1","RH","GCA_014647715.1"
"73",23,2519,"Actinobacteriota","Sucrose","MP","t1","RAS","GCA_014647715.1"
"74",23,2519,"Actinobacteriota","Sucrose","MP","t1","RH","GCA_014647715.1"
"75",41,2520,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_012530535.1"
"76",41,2520,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_012530535.1"
"77",60,2524,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_001425665.1"
"78",60,2524,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_001425665.1"
"79",32,2530,"Proteobacteria","Sucrose","CT","t1","RH","GCF_009792795.1"
"80",32,2530,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_009792795.1"
"81",60,2550,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_013297645.1"
"82",26,2552,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_014396785.1"
"83",26,2552,"Proteobacteria","Sucrose","CT","t1","RH","GCF_014396785.1"
"84",26,2552,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_014396785.1"
"85",26,2552,"Proteobacteria","Sucrose","MP","t1","RH","GCF_014396785.1"
"86",32,2554,"Proteobacteria","Sucrose","CT","t1","RAS","GCA_009694265.1"
"87",32,2554,"Proteobacteria","Sucrose","CT","t1","RH","GCA_009694265.1"
"88",32,2556,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_000711715.1"
"89",32,2556,"Proteobacteria","Sucrose","CT","t1","RH","GCF_000711715.1"
"90",32,2556,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_000711715.1"
"91",32,2556,"Proteobacteria","Sucrose","MP","t1","RH","GCF_000711715.1"
"92",30,2560,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_013414345.1"
"93",19,2570,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_011301715.1"
"94",19,2570,"Proteobacteria","Sucrose","CT","t1","RH","GCF_011301715.1"
"95",19,2570,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_011301715.1"
"96",19,2570,"Proteobacteria","Sucrose","MP","t1","RH","GCF_011301715.1"
"97",37,2576,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_003605475.1"
"98",37,2576,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_003605475.1"
"99",37,2576,"Proteobacteria","Sucrose","MP","t1","RH","GCF_003605475.1"
"100",22,2588,"Actinobacteriota","Sucrose","MP","t1","RAS","GCA_009694375.1"
"101",14,2599,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_011320095.1"
"102",56,2605,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_011751905.1"
"103",32,2609,"Proteobacteria","Sucrose","CT","t1","RH","GCA_001683895.1"
"104",31,2615,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_004022445.1"
"105",31,2615,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_004022445.1"
"106",33,2630,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_000585415.1"
"107",33,2630,"Proteobacteria","Sucrose","CT","t1","RH","GCF_000585415.1"
"108",33,2630,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_000585415.1"
"109",33,2630,"Proteobacteria","Sucrose","MP","t1","RH","GCF_000585415.1"
"110",22,2638,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_011302915.1"
"111",22,2638,"Proteobacteria","Sucrose","MP","t1","RH","GCF_011302915.1"
"112",26,2641,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_008017445.1"
"113",26,2641,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_008017445.1"
"114",33,2653,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_000425105.1"
"115",37,2653,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_004216855.1"
"116",33,2653,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_000425105.1"
"117",37,2653,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_004216855.1"
"118",78,2659,"Actinobacteriota","Sucrose","MP","t1","RAS","GCA_014360395.1"
"119",78,2659,"Actinobacteriota","Sucrose","MP","t1","RH","GCA_014360395.1"
"120",27,2665,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_900104705.1"
"121",27,2665,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_900104705.1"
"122",54,2668,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_002837415.1"
"123",54,2668,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_002837415.1"
"124",44,2672,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_002797685.1"
"125",59,2679,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_002355395.1"
"126",59,2679,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_002355395.1"
"127",55,2680,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_014137945.1"
"128",55,2680,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_014137945.1"
"129",85,2705,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_900163835.1"
"130",85,2705,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_900163835.1"
"131",27,2706,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_000153145.1"
"132",20,2707,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_006716695.1"
"133",20,2707,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_006716695.1"
"134",38,2711,"Actinobacteriota","Sucrose","MP","t1","RAS","GCF_014201135.1"
"135",38,2717,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_012274275.1"
"136",61,2723,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_006716125.1"
"137",52,2723,"Actinobacteriota","Sucrose","MP","t1","RAS","GCF_003640665.1"
"138",31,2732,"Proteobacteria","Sucrose","CT","t1","RH","GCA_009693325.1"
"139",35,2736,"Proteobacteria","Sucrose","CT","t1","RH","GCA_903902075.1"
"140",51,2741,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_003716325.1"
"141",51,2741,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_003716325.1"
"142",35,2742,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_008001035.1"
"143",56,2744,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_014645235.1"
"144",27,2744,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_003065485.1"
"145",56,2744,"Actinobacteriota","Sucrose","MP","t1","RH","GCA_014645235.1"
"146",27,2744,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_003065485.1"
"147",34,2755,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_014396585.1"
"148",34,2755,"Proteobacteria","Sucrose","CT","t1","RH","GCF_014396585.1"
"149",34,2755,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_014396585.1"
"150",34,2755,"Proteobacteria","Sucrose","MP","t1","RH","GCF_014396585.1"
"151",42,2769,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_009649635.1"
"152",42,2769,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_009649635.1"
"153",44,2773,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_009827315.1"
"154",50,2777,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_011047135.1"
"155",50,2777,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_011047135.1"
"156",33,2780,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_006337105.1"
"157",33,2780,"Proteobacteria","Sucrose","MP","t1","RH","GCF_006337105.1"
"158",34,2781,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_011761265.1"
"159",34,2781,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_011761265.1"
"160",24,2783,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_903643035.1"
"161",24,2783,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_903643035.1"
"162",24,2783,"Proteobacteria","Sucrose","MP","t1","RH","GCF_903643035.1"
"163",63,2785,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_001426925.1"
"164",63,2785,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_001426925.1"
"165",16,2785,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_001281485.1"
"166",17,2787,"Proteobacteria","Sucrose","CT","t1","RAS","GCA_902825995.1"
"167",15,2791,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_900177405.1"
"168",15,2791,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_900177405.1"
"169",15,2791,"Proteobacteria","Sucrose","MP","t1","RH","GCF_900177405.1"
"170",45,2805,"Actinobacteriota","Sucrose","MP","t1","RAS","GCF_900116905.1"
"171",37,2812,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_011927725.1"
"172",37,2812,"Proteobacteria","Sucrose","CT","t1","RH","GCF_011927725.1"
"173",37,2812,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_011927725.1"
"174",37,2812,"Proteobacteria","Sucrose","MP","t1","RH","GCF_011927725.1"
"175",38,2813,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_006346325.1"
"176",38,2813,"Proteobacteria","Sucrose","MP","t1","RH","GCF_006346325.1"
"177",38,2814,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_000331285.1"
"178",11,2816,"Actinobacteriota","Sucrose","CT","t1","RH","GCA_004366385.1"
"179",11,2816,"Actinobacteriota","Sucrose","MP","t1","RAS","GCA_004366385.1"
"180",11,2816,"Actinobacteriota","Sucrose","MP","t1","RH","GCA_004366385.1"
"181",19,2816,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_000384155.1"
"182",31,2828,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_000400485.1"
"183",31,2828,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_000400485.1"
"184",45,2833,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_900114805.1"
"185",44,2835,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_004564075.1"
"186",44,2835,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_004564075.1"
"187",92,2842,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_003327285.1"
"188",35,2849,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_004135625.1"
"189",35,2849,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_004135625.1"
"190",46,2850,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_900102005.1"
"191",23,2852,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_000093025.1"
"192",81,2853,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_000383475.1"
"193",53,2856,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_900167575.1"
"194",53,2856,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_900167575.1"
"195",158,2859,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_007992455.1"
"196",158,2859,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_007992455.1"
"197",103,2862,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_009735645.1"
"198",103,2862,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_009735645.1"
"199",25,2862,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_011300455.1"
"200",25,2862,"Proteobacteria","Sucrose","CT","t1","RH","GCF_011300455.1"
"201",44,2862,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_000422985.1"
"202",25,2862,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_011300455.1"
"203",25,2862,"Proteobacteria","Sucrose","MP","t1","RH","GCF_011300455.1"
"204",75,2868,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_001571045.1"
"205",42,2870,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_001010945.1"
"206",42,2870,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_001010945.1"
"207",34,2870,"Proteobacteria","Sucrose","MP","t1","RH","GCA_001830245.1"
"208",42,2870,"Proteobacteria","Sucrose","MP","t1","RH","GCF_001010945.1"
"209",31,2873,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_009827335.1"
"210",31,2873,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_009827335.1"
"211",31,2873,"Proteobacteria","Sucrose","MP","t1","RH","GCF_009827335.1"
"212",22,2875,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_000515275.1"
"213",18,2877,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_004796535.1"
"214",18,2877,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_004796535.1"
"215",18,2877,"Proteobacteria","Sucrose","MP","t1","RH","GCF_004796535.1"
"216",19,2878,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_004118935.1"
"217",38,2878,"Proteobacteria","Sucrose","MP","t1","RH","GCA_014635845.1"
"218",78,2880,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_001691565.1"
"219",23,2887,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_000620665.1"
"220",23,2887,"Proteobacteria","Sucrose","CT","t1","RH","GCF_000620665.1"
"221",23,2887,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_000620665.1"
"222",23,2887,"Proteobacteria","Sucrose","MP","t1","RH","GCF_000620665.1"
"223",76,2890,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_001644225.1"
"224",34,2890,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_009828065.1"
"225",34,2890,"Proteobacteria","Sucrose","MP","t1","RH","GCF_009828065.1"
"226",35,2893,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_001720465.1"
"227",39,2895,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_013410945.1"
"228",60,2896,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_002151125.1"
"229",55,2899,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_900117395.1"
"230",41,2900,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_003752465.1"
"231",41,2900,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_003752465.1"
"232",92,2906,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_001552475.1"
"233",21,2906,"Proteobacteria","Sucrose","CT","t1","RAS","GCA_013816585.1"
"234",21,2906,"Proteobacteria","Sucrose","MP","t1","RAS","GCA_013816585.1"
"235",41,2906,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_014489475.1"
"236",21,2906,"Proteobacteria","Sucrose","MP","t1","RH","GCA_013816585.1"
"237",41,2906,"Proteobacteria","Sucrose","MP","t1","RH","GCF_014489475.1"
"238",105,2910,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_010686725.1"
"239",39,2912,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_001663175.1"
"240",21,2924,"Firmicutes","Sucrose","MP","t1","RH","GCF_009828105.1"
"241",66,2927,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_001584605.1"
"242",66,2927,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_001584605.1"
"243",24,2932,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_014645015.1"
"244",49,2932,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_003627075.1"
"245",49,2932,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_003627075.1"
"246",88,2938,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_000355695.1"
"247",28,2948,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_001981525.1"
"248",28,2948,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_001981525.1"
"249",28,2948,"Proteobacteria","Sucrose","MP","t1","RH","GCF_001981525.1"
"250",79,2954,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_014205075.1"
"251",79,2954,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_014205075.1"
"252",26,2956,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_902506605.1"
"253",26,2956,"Proteobacteria","Sucrose","MP","t1","RH","GCF_902506605.1"
"254",48,2957,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_009720245.1"
"255",48,2957,"Proteobacteria","Sucrose","CT","t1","RH","GCF_009720245.1"
"256",48,2957,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_009720245.1"
"257",48,2957,"Proteobacteria","Sucrose","MP","t1","RH","GCF_009720245.1"
"258",48,2959,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_001878835.1"
"259",48,2959,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_001878835.1"
"260",35,2960,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_009363895.1"
"261",35,2960,"Proteobacteria","Sucrose","CT","t1","RH","GCF_009363895.1"
"262",35,2960,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_009363895.1"
"263",35,2960,"Proteobacteria","Sucrose","MP","t1","RH","GCF_009363895.1"
"264",35,2961,"Actinobacteriota","Sucrose","MP","t1","RAS","GCF_008580665.1"
"265",76,2961,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_008710705.1"
"266",26,2966,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_003248655.1"
"267",26,2966,"Actinobacteriota","Sucrose","MP","t1","RH","GCA_003248655.1"
"268",33,2970,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_003667545.1"
"269",76,2970,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_011761235.1"
"270",33,2970,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_003667545.1"
"271",58,2977,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_903645325.1"
"272",58,2977,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_903645325.1"
"273",22,2981,"Proteobacteria","Sucrose","CT","t1","RAS","GCA_002083435.1"
"274",22,2981,"Proteobacteria","Sucrose","MP","t1","RAS","GCA_002083435.1"
"275",22,2981,"Proteobacteria","Sucrose","MP","t1","RH","GCA_002083435.1"
"276",45,2986,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_005484985.1"
"277",45,2986,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_005484985.1"
"278",28,2986,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_000768355.1"
"279",28,2986,"Proteobacteria","Sucrose","MP","t1","RH","GCF_000768355.1"
"280",26,2988,"Acidobacteriota","Sucrose","MP","t1","RAS","GCA_001567505.1"
"281",66,2991,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_003651225.1"
"282",66,2991,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_003651225.1"
"283",18,2993,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_003129465.1"
"284",18,2993,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_003129465.1"
"285",18,2993,"Proteobacteria","Sucrose","MP","t1","RH","GCF_003129465.1"
"286",17,3001,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_009913435.1"
"287",17,3001,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_009913435.1"
"288",17,3001,"Proteobacteria","Sucrose","MP","t1","RH","GCF_009913435.1"
"289",44,3012,"Firmicutes","Sucrose","CT","t1","RH","GCF_901447495.1"
"290",16,3014,"Proteobacteria","Sucrose","MP","t1","RAS","GCA_014635065.1"
"291",16,3014,"Proteobacteria","Sucrose","MP","t1","RH","GCA_014635065.1"
"292",61,3020,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_000956535.1"
"293",71,3021,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_003293595.1"
"294",49,3026,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_900078385.1"
"295",49,3026,"Actinobacteriota","Sucrose","MP","t1","RH","GCA_900078385.1"
"296",28,3026,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_900105095.1"
"297",73,3027,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_002705755.3"
"298",73,3027,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_002705755.3"
"299",27,3030,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_902498745.1"
"300",27,3030,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_902498745.1"
"301",27,3030,"Proteobacteria","Sucrose","MP","t1","RH","GCF_902498745.1"
"302",65,3034,"Actinobacteriota","Sucrose","MP","t1","RAS","GCF_011326735.1"
"303",65,3034,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_011326735.1"
"304",71,3035,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_014646015.1"
"305",27,3040,"Actinobacteriota","Sucrose","CT","t1","RAS","GCA_013821025.1"
"306",27,3040,"Actinobacteriota","Sucrose","CT","t1","RH","GCA_013821025.1"
"307",27,3040,"Actinobacteriota","Sucrose","MP","t1","RAS","GCA_013821025.1"
"308",28,3042,"Proteobacteria","Sucrose","CT","t1","RAS","GCF_011320075.1"
"309",28,3042,"Proteobacteria","Sucrose","MP","t1","RAS","GCF_011320075.1"
"310",28,3042,"Proteobacteria","Sucrose","MP","t1","RH","GCF_011320075.1"
"311",65,3044,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_008642235.1"
"312",44,3054,"Actinobacteriota","Sucrose","MP","t1","RAS","GCF_001570965.1"
"313",44,3054,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_001570965.1"
"314",61,3062,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_001422285.1"
"315",52,3065,"Actinobacteriota","Sucrose","CT","t1","RAS","GCF_006716815.1"
"316",52,3065,"Actinobacteriota","Sucrose","MP","t1","RH","GCF_006716815.1"
