"","Sach_genes","gene_No","tax.Phylum","Category","till2","t1","Soil_Type","genome"
"29",816,2255,"Proteobacteria","Glucose","CT","total","RH","GCF_006476065.1"
"30",955,2278,"Proteobacteria","Glucose","CT","total","RAS","GCF_002007485.1"
"31",843,2317,"Proteobacteria","Glucose","CT","total","RAS","GCF_003499275.1"
"32",843,2317,"Proteobacteria","Glucose","CT","total","RH","GCF_003499275.1"
"33",843,2317,"Proteobacteria","Glucose","MP","total","RAS","GCF_003499275.1"
"34",843,2317,"Proteobacteria","Glucose","MP","total","RH","GCF_003499275.1"
"35",828,2324,"Proteobacteria","Glucose","MP","total","RH","GCF_000158475.2"
"36",991,2361,"Proteobacteria","Glucose","CT","total","RAS","GCA_013817375.1"
"37",991,2361,"Proteobacteria","Glucose","CT","total","RH","GCA_013817375.1"
"38",991,2361,"Proteobacteria","Glucose","MP","total","RAS","GCA_013817375.1"
"39",991,2361,"Proteobacteria","Glucose","MP","total","RH","GCA_013817375.1"
"40",1158,2373,"Actinobacteriota","Glucose","CT","total","RAS","GCF_014200375.1"
"41",1158,2373,"Actinobacteriota","Glucose","MP","total","RH","GCF_014200375.1"
"42",1026,2378,"Proteobacteria","Glucose","MP","total","RAS","GCF_004358425.1"
"43",1026,2378,"Proteobacteria","Glucose","MP","total","RH","GCF_004358425.1"
"44",1077,2384,"Actinobacteriota","Glucose","MP","total","RAS","GCF_001570885.1"
"45",1058,2385,"Actinobacteriota","Glucose","CT","total","RAS","GCA_013823625.1"
"46",1058,2385,"Actinobacteriota","Glucose","MP","total","RH","GCA_013823625.1"
"47",873,2390,"Proteobacteria","Glucose","CT","total","RAS","GCF_000023705.1"
"48",768,2393,"Proteobacteria","Glucose","CT","total","RAS","GCF_000799165.1"
"49",948,2399,"Actinobacteriota","Glucose","MP","total","RAS","GCF_900289115.1"
"50",948,2399,"Actinobacteriota","Glucose","MP","total","RH","GCF_900289115.1"
"51",996,2403,"Proteobacteria","Glucose","CT","total","RAS","GCF_003583725.1"
"52",996,2403,"Proteobacteria","Glucose","CT","total","RH","GCF_003583725.1"
"53",996,2403,"Proteobacteria","Glucose","MP","total","RAS","GCF_003583725.1"
"54",996,2403,"Proteobacteria","Glucose","MP","total","RH","GCF_003583725.1"
"55",810,2405,"Proteobacteria","Glucose","CT","total","RAS","GCF_000799735.1"
"56",1297,2421,"Actinobacteriota","Glucose","CT","total","RAS","GCF_014595885.1"
"57",1297,2421,"Actinobacteriota","Glucose","MP","total","RH","GCF_014595885.1"
"58",1129,2429,"Actinobacteriota","Glucose","CT","total","RAS","GCA_002325245.1"
"59",854,2455,"Proteobacteria","Glucose","CT","total","RAS","GCF_002007565.1"
"60",1301,2461,"Actinobacteriota","Glucose","CT","total","RAS","GCF_004216575.1"
"61",1301,2461,"Actinobacteriota","Glucose","MP","total","RH","GCF_004216575.1"
"62",1043,2464,"Proteobacteria","Glucose","CT","total","RAS","GCF_003012815.1"
"63",1043,2464,"Proteobacteria","Glucose","MP","total","RAS","GCF_003012815.1"
"64",1043,2464,"Proteobacteria","Glucose","MP","total","RH","GCF_003012815.1"
"65",1604,2478,"Actinobacteriota","Glucose","CT","total","RAS","GCF_014200395.1"
"66",1604,2478,"Actinobacteriota","Glucose","MP","total","RH","GCF_014200395.1"
"67",745,2478,"Proteobacteria","Glucose","CT","total","RAS","GCF_006363955.1"
"68",953,2487,"Actinobacteriota","Glucose","MP","total","RAS","GCF_014200305.1"
"69",1346,2509,"Actinobacteriota","Glucose","CT","total","RAS","GCF_005502445.1"
"70",845,2513,"Proteobacteria","Glucose","CT","total","RH","GCF_003416885.1"
"71",1442,2518,"Actinobacteriota","Glucose","CT","total","RAS","GCF_011046975.1"
"72",693,2519,"Actinobacteriota","Glucose","CT","total","RH","GCA_014647715.1"
"73",693,2519,"Actinobacteriota","Glucose","MP","total","RAS","GCA_014647715.1"
"74",693,2519,"Actinobacteriota","Glucose","MP","total","RH","GCA_014647715.1"
"75",1693,2520,"Actinobacteriota","Glucose","CT","total","RAS","GCF_012530535.1"
"76",1693,2520,"Actinobacteriota","Glucose","MP","total","RH","GCF_012530535.1"
"77",1567,2524,"Actinobacteriota","Glucose","CT","total","RAS","GCF_001425665.1"
"78",1567,2524,"Actinobacteriota","Glucose","MP","total","RH","GCF_001425665.1"
"79",1102,2530,"Proteobacteria","Glucose","CT","total","RH","GCF_009792795.1"
"80",1102,2530,"Proteobacteria","Glucose","MP","total","RAS","GCF_009792795.1"
"81",1347,2550,"Actinobacteriota","Glucose","CT","total","RAS","GCA_013297645.1"
"82",862,2552,"Proteobacteria","Glucose","CT","total","RAS","GCF_014396785.1"
"83",862,2552,"Proteobacteria","Glucose","CT","total","RH","GCF_014396785.1"
"84",862,2552,"Proteobacteria","Glucose","MP","total","RAS","GCF_014396785.1"
"85",862,2552,"Proteobacteria","Glucose","MP","total","RH","GCF_014396785.1"
"86",906,2554,"Proteobacteria","Glucose","CT","total","RAS","GCA_009694265.1"
"87",906,2554,"Proteobacteria","Glucose","CT","total","RH","GCA_009694265.1"
"88",1086,2556,"Proteobacteria","Glucose","CT","total","RAS","GCF_000711715.1"
"89",1086,2556,"Proteobacteria","Glucose","CT","total","RH","GCF_000711715.1"
"90",1086,2556,"Proteobacteria","Glucose","MP","total","RAS","GCF_000711715.1"
"91",1086,2556,"Proteobacteria","Glucose","MP","total","RH","GCF_000711715.1"
"92",1544,2560,"Actinobacteriota","Glucose","CT","total","RAS","GCF_013414345.1"
"93",904,2570,"Proteobacteria","Glucose","CT","total","RAS","GCF_011301715.1"
"94",904,2570,"Proteobacteria","Glucose","CT","total","RH","GCF_011301715.1"
"95",904,2570,"Proteobacteria","Glucose","MP","total","RAS","GCF_011301715.1"
"96",904,2570,"Proteobacteria","Glucose","MP","total","RH","GCF_011301715.1"
"97",1165,2576,"Proteobacteria","Glucose","CT","total","RAS","GCF_003605475.1"
"98",1165,2576,"Proteobacteria","Glucose","MP","total","RAS","GCF_003605475.1"
"99",1165,2576,"Proteobacteria","Glucose","MP","total","RH","GCF_003605475.1"
"100",1071,2588,"Actinobacteriota","Glucose","MP","total","RAS","GCA_009694375.1"
"101",930,2599,"Proteobacteria","Glucose","MP","total","RAS","GCF_011320095.1"
"102",1370,2605,"Actinobacteriota","Glucose","MP","total","RH","GCF_011751905.1"
"103",989,2609,"Proteobacteria","Glucose","CT","total","RH","GCA_001683895.1"
"104",1156,2615,"Actinobacteriota","Glucose","CT","total","RAS","GCF_004022445.1"
"105",1156,2615,"Actinobacteriota","Glucose","MP","total","RH","GCF_004022445.1"
"106",1025,2630,"Proteobacteria","Glucose","CT","total","RAS","GCF_000585415.1"
"107",1025,2630,"Proteobacteria","Glucose","CT","total","RH","GCF_000585415.1"
"108",1025,2630,"Proteobacteria","Glucose","MP","total","RAS","GCF_000585415.1"
"109",1025,2630,"Proteobacteria","Glucose","MP","total","RH","GCF_000585415.1"
"110",956,2638,"Proteobacteria","Glucose","MP","total","RAS","GCF_011302915.1"
"111",956,2638,"Proteobacteria","Glucose","MP","total","RH","GCF_011302915.1"
"112",1153,2641,"Actinobacteriota","Glucose","CT","total","RAS","GCF_008017445.1"
"113",1153,2641,"Actinobacteriota","Glucose","MP","total","RH","GCF_008017445.1"
"114",1160,2653,"Actinobacteriota","Glucose","CT","total","RAS","GCF_000425105.1"
"115",1349,2653,"Actinobacteriota","Glucose","CT","total","RAS","GCF_004216855.1"
"116",1160,2653,"Actinobacteriota","Glucose","MP","total","RH","GCF_000425105.1"
"117",1349,2653,"Actinobacteriota","Glucose","MP","total","RH","GCF_004216855.1"
"118",1815,2659,"Actinobacteriota","Glucose","MP","total","RAS","GCA_014360395.1"
"119",1815,2659,"Actinobacteriota","Glucose","MP","total","RH","GCA_014360395.1"
"120",1038,2665,"Actinobacteriota","Glucose","CT","total","RAS","GCF_900104705.1"
"121",1038,2665,"Actinobacteriota","Glucose","MP","total","RH","GCF_900104705.1"
"122",1618,2668,"Actinobacteriota","Glucose","CT","total","RAS","GCF_002837415.1"
"123",1618,2668,"Actinobacteriota","Glucose","MP","total","RH","GCF_002837415.1"
"124",1326,2672,"Actinobacteriota","Glucose","CT","total","RAS","GCF_002797685.1"
"125",1617,2679,"Actinobacteriota","Glucose","CT","total","RAS","GCF_002355395.1"
"126",1617,2679,"Actinobacteriota","Glucose","MP","total","RH","GCF_002355395.1"
"127",1445,2680,"Actinobacteriota","Glucose","CT","total","RAS","GCF_014137945.1"
"128",1445,2680,"Actinobacteriota","Glucose","MP","total","RH","GCF_014137945.1"
"129",1394,2705,"Actinobacteriota","Glucose","CT","total","RAS","GCF_900163835.1"
"130",1394,2705,"Actinobacteriota","Glucose","MP","total","RH","GCF_900163835.1"
"131",1186,2706,"Actinobacteriota","Glucose","CT","total","RAS","GCF_000153145.1"
"132",1014,2707,"Actinobacteriota","Glucose","CT","total","RAS","GCF_006716695.1"
"133",1014,2707,"Actinobacteriota","Glucose","MP","total","RH","GCF_006716695.1"
"134",1224,2711,"Actinobacteriota","Glucose","MP","total","RAS","GCF_014201135.1"
"135",1047,2717,"Actinobacteriota","Glucose","MP","total","RH","GCF_012274275.1"
"136",1466,2723,"Actinobacteriota","Glucose","CT","total","RAS","GCF_006716125.1"
"137",1181,2723,"Actinobacteriota","Glucose","MP","total","RAS","GCF_003640665.1"
"138",1075,2732,"Proteobacteria","Glucose","CT","total","RH","GCA_009693325.1"
"139",987,2736,"Proteobacteria","Glucose","CT","total","RH","GCA_903902075.1"
"140",1589,2741,"Actinobacteriota","Glucose","CT","total","RAS","GCF_003716325.1"
"141",1589,2741,"Actinobacteriota","Glucose","MP","total","RH","GCF_003716325.1"
"142",1264,2742,"Actinobacteriota","Glucose","CT","total","RAS","GCF_008001035.1"
"143",1227,2744,"Actinobacteriota","Glucose","CT","total","RAS","GCA_014645235.1"
"144",1442,2744,"Actinobacteriota","Glucose","CT","total","RAS","GCF_003065485.1"
"145",1227,2744,"Actinobacteriota","Glucose","MP","total","RH","GCA_014645235.1"
"146",1442,2744,"Actinobacteriota","Glucose","MP","total","RH","GCF_003065485.1"
"147",1263,2755,"Proteobacteria","Glucose","CT","total","RAS","GCF_014396585.1"
"148",1263,2755,"Proteobacteria","Glucose","CT","total","RH","GCF_014396585.1"
"149",1263,2755,"Proteobacteria","Glucose","MP","total","RAS","GCF_014396585.1"
"150",1263,2755,"Proteobacteria","Glucose","MP","total","RH","GCF_014396585.1"
"151",1457,2769,"Actinobacteriota","Glucose","CT","total","RAS","GCF_009649635.1"
"152",1457,2769,"Actinobacteriota","Glucose","MP","total","RH","GCF_009649635.1"
"153",1261,2773,"Proteobacteria","Glucose","MP","total","RAS","GCF_009827315.1"
"154",1680,2777,"Actinobacteriota","Glucose","CT","total","RAS","GCF_011047135.1"
"155",1680,2777,"Actinobacteriota","Glucose","MP","total","RH","GCF_011047135.1"
"156",1275,2780,"Proteobacteria","Glucose","MP","total","RAS","GCF_006337105.1"
"157",1275,2780,"Proteobacteria","Glucose","MP","total","RH","GCF_006337105.1"
"158",1824,2781,"Actinobacteriota","Glucose","CT","total","RAS","GCF_011761265.1"
"159",1824,2781,"Actinobacteriota","Glucose","MP","total","RH","GCF_011761265.1"
"160",1084,2783,"Proteobacteria","Glucose","CT","total","RAS","GCF_903643035.1"
"161",1084,2783,"Proteobacteria","Glucose","MP","total","RAS","GCF_903643035.1"
"162",1084,2783,"Proteobacteria","Glucose","MP","total","RH","GCF_903643035.1"
"163",1567,2785,"Actinobacteriota","Glucose","CT","total","RAS","GCF_001426925.1"
"164",1567,2785,"Actinobacteriota","Glucose","MP","total","RH","GCF_001426925.1"
"165",736,2785,"Proteobacteria","Glucose","MP","total","RAS","GCF_001281485.1"
"166",1006,2787,"Proteobacteria","Glucose","CT","total","RAS","GCA_902825995.1"
"167",1023,2791,"Proteobacteria","Glucose","CT","total","RAS","GCF_900177405.1"
"168",1023,2791,"Proteobacteria","Glucose","MP","total","RAS","GCF_900177405.1"
"169",1023,2791,"Proteobacteria","Glucose","MP","total","RH","GCF_900177405.1"
"170",1279,2805,"Actinobacteriota","Glucose","MP","total","RAS","GCF_900116905.1"
"171",1187,2812,"Proteobacteria","Glucose","CT","total","RAS","GCF_011927725.1"
"172",1187,2812,"Proteobacteria","Glucose","CT","total","RH","GCF_011927725.1"
"173",1187,2812,"Proteobacteria","Glucose","MP","total","RAS","GCF_011927725.1"
"174",1187,2812,"Proteobacteria","Glucose","MP","total","RH","GCF_011927725.1"
"175",1193,2813,"Proteobacteria","Glucose","MP","total","RAS","GCF_006346325.1"
"176",1193,2813,"Proteobacteria","Glucose","MP","total","RH","GCF_006346325.1"
"177",1322,2814,"Proteobacteria","Glucose","MP","total","RAS","GCF_000331285.1"
"178",883,2816,"Actinobacteriota","Glucose","CT","total","RH","GCA_004366385.1"
"179",883,2816,"Actinobacteriota","Glucose","MP","total","RAS","GCA_004366385.1"
"180",883,2816,"Actinobacteriota","Glucose","MP","total","RH","GCA_004366385.1"
"181",814,2816,"Proteobacteria","Glucose","CT","total","RAS","GCF_000384155.1"
"182",1201,2828,"Actinobacteriota","Glucose","CT","total","RAS","GCF_000400485.1"
"183",1201,2828,"Actinobacteriota","Glucose","MP","total","RH","GCF_000400485.1"
"184",1034,2833,"Actinobacteriota","Glucose","MP","total","RH","GCF_900114805.1"
"185",1827,2835,"Actinobacteriota","Glucose","CT","total","RAS","GCF_004564075.1"
"186",1827,2835,"Actinobacteriota","Glucose","MP","total","RH","GCF_004564075.1"
"187",2196,2842,"Actinobacteriota","Glucose","CT","total","RAS","GCF_003327285.1"
"188",1242,2849,"Proteobacteria","Glucose","CT","total","RAS","GCF_004135625.1"
"189",1242,2849,"Proteobacteria","Glucose","MP","total","RAS","GCF_004135625.1"
"190",1749,2850,"Actinobacteriota","Glucose","MP","total","RH","GCF_900102005.1"
"191",860,2852,"Proteobacteria","Glucose","CT","total","RAS","GCF_000093025.1"
"192",1916,2853,"Actinobacteriota","Glucose","MP","total","RH","GCF_000383475.1"
"193",1905,2856,"Actinobacteriota","Glucose","CT","total","RAS","GCF_900167575.1"
"194",1905,2856,"Actinobacteriota","Glucose","MP","total","RH","GCF_900167575.1"
"195",1738,2859,"Actinobacteriota","Glucose","CT","total","RAS","GCF_007992455.1"
"196",1738,2859,"Actinobacteriota","Glucose","MP","total","RH","GCF_007992455.1"
"197",1960,2862,"Actinobacteriota","Glucose","CT","total","RAS","GCF_009735645.1"
"198",1960,2862,"Actinobacteriota","Glucose","MP","total","RH","GCF_009735645.1"
"199",1189,2862,"Proteobacteria","Glucose","CT","total","RAS","GCF_011300455.1"
"200",1189,2862,"Proteobacteria","Glucose","CT","total","RH","GCF_011300455.1"
"201",1427,2862,"Proteobacteria","Glucose","MP","total","RAS","GCF_000422985.1"
"202",1189,2862,"Proteobacteria","Glucose","MP","total","RAS","GCF_011300455.1"
"203",1189,2862,"Proteobacteria","Glucose","MP","total","RH","GCF_011300455.1"
"204",2089,2868,"Actinobacteriota","Glucose","MP","total","RH","GCF_001571045.1"
"205",1134,2870,"Proteobacteria","Glucose","CT","total","RAS","GCF_001010945.1"
"206",1134,2870,"Proteobacteria","Glucose","MP","total","RAS","GCF_001010945.1"
"207",1185,2870,"Proteobacteria","Glucose","MP","total","RH","GCA_001830245.1"
"208",1134,2870,"Proteobacteria","Glucose","MP","total","RH","GCF_001010945.1"
"209",1374,2873,"Proteobacteria","Glucose","CT","total","RAS","GCF_009827335.1"
"210",1374,2873,"Proteobacteria","Glucose","MP","total","RAS","GCF_009827335.1"
"211",1374,2873,"Proteobacteria","Glucose","MP","total","RH","GCF_009827335.1"
"212",849,2875,"Proteobacteria","Glucose","CT","total","RAS","GCF_000515275.1"
"213",1004,2877,"Proteobacteria","Glucose","CT","total","RAS","GCF_004796535.1"
"214",1004,2877,"Proteobacteria","Glucose","MP","total","RAS","GCF_004796535.1"
"215",1004,2877,"Proteobacteria","Glucose","MP","total","RH","GCF_004796535.1"
"216",1243,2878,"Actinobacteriota","Glucose","CT","total","RAS","GCF_004118935.1"
"217",980,2878,"Proteobacteria","Glucose","MP","total","RH","GCA_014635845.1"
"218",1809,2880,"Actinobacteriota","Glucose","MP","total","RH","GCF_001691565.1"
"219",1025,2887,"Proteobacteria","Glucose","CT","total","RAS","GCF_000620665.1"
"220",1025,2887,"Proteobacteria","Glucose","CT","total","RH","GCF_000620665.1"
"221",1025,2887,"Proteobacteria","Glucose","MP","total","RAS","GCF_000620665.1"
"222",1025,2887,"Proteobacteria","Glucose","MP","total","RH","GCF_000620665.1"
"223",2024,2890,"Actinobacteriota","Glucose","MP","total","RH","GCF_001644225.1"
"224",994,2890,"Proteobacteria","Glucose","MP","total","RAS","GCF_009828065.1"
"225",994,2890,"Proteobacteria","Glucose","MP","total","RH","GCF_009828065.1"
"226",1272,2893,"Proteobacteria","Glucose","MP","total","RAS","GCF_001720465.1"
"227",1306,2895,"Actinobacteriota","Glucose","CT","total","RAS","GCF_013410945.1"
"228",2098,2896,"Actinobacteriota","Glucose","MP","total","RH","GCF_002151125.1"
"229",1380,2899,"Actinobacteriota","Glucose","MP","total","RH","GCF_900117395.1"
"230",1299,2900,"Actinobacteriota","Glucose","CT","total","RAS","GCF_003752465.1"
"231",1299,2900,"Actinobacteriota","Glucose","MP","total","RH","GCF_003752465.1"
"232",1913,2906,"Actinobacteriota","Glucose","MP","total","RH","GCF_001552475.1"
"233",1020,2906,"Proteobacteria","Glucose","CT","total","RAS","GCA_013816585.1"
"234",1020,2906,"Proteobacteria","Glucose","MP","total","RAS","GCA_013816585.1"
"235",1165,2906,"Proteobacteria","Glucose","MP","total","RAS","GCF_014489475.1"
"236",1020,2906,"Proteobacteria","Glucose","MP","total","RH","GCA_013816585.1"
"237",1165,2906,"Proteobacteria","Glucose","MP","total","RH","GCF_014489475.1"
"238",2169,2910,"Actinobacteriota","Glucose","CT","total","RAS","GCF_010686725.1"
"239",1247,2912,"Proteobacteria","Glucose","MP","total","RAS","GCF_001663175.1"
"240",1121,2924,"Firmicutes","Glucose","MP","total","RH","GCF_009828105.1"
"241",1567,2927,"Actinobacteriota","Glucose","CT","total","RAS","GCF_001584605.1"
"242",1567,2927,"Actinobacteriota","Glucose","MP","total","RH","GCF_001584605.1"
"243",1366,2932,"Actinobacteriota","Glucose","CT","total","RAS","GCA_014645015.1"
"244",1795,2932,"Actinobacteriota","Glucose","CT","total","RAS","GCF_003627075.1"
"245",1795,2932,"Actinobacteriota","Glucose","MP","total","RH","GCF_003627075.1"
"246",1913,2938,"Actinobacteriota","Glucose","MP","total","RH","GCF_000355695.1"
"247",1169,2948,"Proteobacteria","Glucose","CT","total","RAS","GCF_001981525.1"
"248",1169,2948,"Proteobacteria","Glucose","MP","total","RAS","GCF_001981525.1"
"249",1169,2948,"Proteobacteria","Glucose","MP","total","RH","GCF_001981525.1"
"250",1937,2954,"Actinobacteriota","Glucose","CT","total","RAS","GCF_014205075.1"
"251",1937,2954,"Actinobacteriota","Glucose","MP","total","RH","GCF_014205075.1"
"252",1112,2956,"Proteobacteria","Glucose","MP","total","RAS","GCF_902506605.1"
"253",1112,2956,"Proteobacteria","Glucose","MP","total","RH","GCF_902506605.1"
"254",1470,2957,"Proteobacteria","Glucose","CT","total","RAS","GCF_009720245.1"
"255",1470,2957,"Proteobacteria","Glucose","CT","total","RH","GCF_009720245.1"
"256",1470,2957,"Proteobacteria","Glucose","MP","total","RAS","GCF_009720245.1"
"257",1470,2957,"Proteobacteria","Glucose","MP","total","RH","GCF_009720245.1"
"258",1554,2959,"Actinobacteriota","Glucose","CT","total","RAS","GCF_001878835.1"
"259",1554,2959,"Actinobacteriota","Glucose","MP","total","RH","GCF_001878835.1"
"260",1326,2960,"Proteobacteria","Glucose","CT","total","RAS","GCF_009363895.1"
"261",1326,2960,"Proteobacteria","Glucose","CT","total","RH","GCF_009363895.1"
"262",1326,2960,"Proteobacteria","Glucose","MP","total","RAS","GCF_009363895.1"
"263",1326,2960,"Proteobacteria","Glucose","MP","total","RH","GCF_009363895.1"
"264",1168,2961,"Actinobacteriota","Glucose","MP","total","RAS","GCF_008580665.1"
"265",2223,2961,"Actinobacteriota","Glucose","MP","total","RH","GCF_008710705.1"
"266",1423,2966,"Actinobacteriota","Glucose","CT","total","RAS","GCA_003248655.1"
"267",1423,2966,"Actinobacteriota","Glucose","MP","total","RH","GCA_003248655.1"
"268",1494,2970,"Actinobacteriota","Glucose","CT","total","RAS","GCF_003667545.1"
"269",1687,2970,"Actinobacteriota","Glucose","CT","total","RAS","GCF_011761235.1"
"270",1494,2970,"Actinobacteriota","Glucose","MP","total","RH","GCF_003667545.1"
"271",1474,2977,"Actinobacteriota","Glucose","CT","total","RAS","GCF_903645325.1"
"272",1474,2977,"Actinobacteriota","Glucose","MP","total","RH","GCF_903645325.1"
"273",1169,2981,"Proteobacteria","Glucose","CT","total","RAS","GCA_002083435.1"
"274",1169,2981,"Proteobacteria","Glucose","MP","total","RAS","GCA_002083435.1"
"275",1169,2981,"Proteobacteria","Glucose","MP","total","RH","GCA_002083435.1"
"276",1252,2986,"Actinobacteriota","Glucose","CT","total","RAS","GCF_005484985.1"
"277",1252,2986,"Actinobacteriota","Glucose","MP","total","RH","GCF_005484985.1"
"278",1133,2986,"Proteobacteria","Glucose","MP","total","RAS","GCF_000768355.1"
"279",1133,2986,"Proteobacteria","Glucose","MP","total","RH","GCF_000768355.1"
"280",1038,2988,"Acidobacteriota","Glucose","MP","total","RAS","GCA_001567505.1"
"281",1884,2991,"Actinobacteriota","Glucose","CT","total","RAS","GCF_003651225.1"
"282",1884,2991,"Actinobacteriota","Glucose","MP","total","RH","GCF_003651225.1"
"283",1017,2993,"Proteobacteria","Glucose","CT","total","RAS","GCF_003129465.1"
"284",1017,2993,"Proteobacteria","Glucose","MP","total","RAS","GCF_003129465.1"
"285",1017,2993,"Proteobacteria","Glucose","MP","total","RH","GCF_003129465.1"
"286",967,3001,"Proteobacteria","Glucose","CT","total","RAS","GCF_009913435.1"
"287",967,3001,"Proteobacteria","Glucose","MP","total","RAS","GCF_009913435.1"
"288",967,3001,"Proteobacteria","Glucose","MP","total","RH","GCF_009913435.1"
"289",1146,3012,"Firmicutes","Glucose","CT","total","RH","GCF_901447495.1"
"290",892,3014,"Proteobacteria","Glucose","MP","total","RAS","GCA_014635065.1"
"291",892,3014,"Proteobacteria","Glucose","MP","total","RH","GCA_014635065.1"
"292",1422,3020,"Actinobacteriota","Glucose","MP","total","RH","GCF_000956535.1"
"293",1874,3021,"Actinobacteriota","Glucose","MP","total","RH","GCF_003293595.1"
"294",1956,3026,"Actinobacteriota","Glucose","CT","total","RAS","GCA_900078385.1"
"295",1956,3026,"Actinobacteriota","Glucose","MP","total","RH","GCA_900078385.1"
"296",1150,3026,"Proteobacteria","Glucose","MP","total","RAS","GCF_900105095.1"
"297",1614,3027,"Actinobacteriota","Glucose","CT","total","RAS","GCF_002705755.3"
"298",1614,3027,"Actinobacteriota","Glucose","MP","total","RH","GCF_002705755.3"
"299",1169,3030,"Proteobacteria","Glucose","CT","total","RAS","GCF_902498745.1"
"300",1169,3030,"Proteobacteria","Glucose","MP","total","RAS","GCF_902498745.1"
"301",1169,3030,"Proteobacteria","Glucose","MP","total","RH","GCF_902498745.1"
"302",1709,3034,"Actinobacteriota","Glucose","MP","total","RAS","GCF_011326735.1"
"303",1709,3034,"Actinobacteriota","Glucose","MP","total","RH","GCF_011326735.1"
"304",2201,3035,"Actinobacteriota","Glucose","CT","total","RAS","GCA_014646015.1"
"305",976,3040,"Actinobacteriota","Glucose","CT","total","RAS","GCA_013821025.1"
"306",976,3040,"Actinobacteriota","Glucose","CT","total","RH","GCA_013821025.1"
"307",976,3040,"Actinobacteriota","Glucose","MP","total","RAS","GCA_013821025.1"
"308",1023,3042,"Proteobacteria","Glucose","CT","total","RAS","GCF_011320075.1"
"309",1023,3042,"Proteobacteria","Glucose","MP","total","RAS","GCF_011320075.1"
"310",1023,3042,"Proteobacteria","Glucose","MP","total","RH","GCF_011320075.1"
"311",2290,3044,"Actinobacteriota","Glucose","CT","total","RAS","GCF_008642235.1"
"312",1158,3054,"Actinobacteriota","Glucose","MP","total","RAS","GCF_001570965.1"
"313",1158,3054,"Actinobacteriota","Glucose","MP","total","RH","GCF_001570965.1"
"314",1783,3062,"Actinobacteriota","Glucose","CT","total","RAS","GCF_001422285.1"
"315",2370,3065,"Actinobacteriota","Glucose","CT","total","RAS","GCF_006716815.1"
"316",2370,3065,"Actinobacteriota","Glucose","MP","total","RH","GCF_006716815.1"
"317",1121,3066,"Proteobacteria","Glucose","CT","total","RAS","GCF_007995055.1"
"318",1121,3066,"Proteobacteria","Glucose","MP","total","RAS","GCF_007995055.1"
"319",1121,3066,"Proteobacteria","Glucose","MP","total","RH","GCF_007995055.1"
"320",1829,3070,"Actinobacteriota","Glucose","MP","total","RH","GCF_003234185.1"
"321",1979,3070,"Actinobacteriota","Glucose","MP","total","RH","GCF_003576405.1"
"322",1180,3071,"Proteobacteria","Glucose","CT","total","RAS","GCA_004799495.1"
"323",1180,3071,"Proteobacteria","Glucose","MP","total","RAS","GCA_004799495.1"
"324",1180,3071,"Proteobacteria","Glucose","MP","total","RH","GCA_004799495.1"
"325",1965,3072,"Actinobacteriota","Glucose","CT","total","RAS","GCF_007954365.1"
